event_date,event_type,sub_event_type,actor1,actor2,interaction,admin1,fatalities
2022-02-08,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-08,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-08,Protests,Peaceful protest,Protesters (Myanmar),,60,Tanintharyi,0
2022-02-08,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-08,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Magway,0
2022-02-08,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Magway,0
2022-02-08,Protests,Peaceful protest,Protesters (Myanmar),,60,Mandalay,0
2022-02-08,Protests,Peaceful protest,Protesters (Myanmar),,60,Mandalay,0
2022-02-08,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-08,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-08,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-08,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-08,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-08,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-08,Protests,Peaceful protest,Protesters (Myanmar),,60,Kachin,0
2022-02-08,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-08,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Bago-East,0
2022-02-08,Strategic developments,Other,Civilians (Myanmar),,70,Yangon,0
2022-02-08,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-08,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-08,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-02-08,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-02-08,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-08,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Kachin,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Yangon,0
2022-02-07,Strategic developments,Looting/property destruction,Unidentified Armed Group (Myanmar),Civilians (Myanmar),37,Kachin,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Kachin,0
2022-02-07,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-07,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-02-07,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Chin,0
2022-02-07,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Mandalay,0
2022-02-07,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Magway,0
2022-02-07,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Mandalay,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Magway,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Bago-West,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Mandalay,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Tanintharyi,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-07,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-07,Strategic developments,Other,Civilians (Myanmar),,70,Sagaing,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-07,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-06,Protests,Peaceful protest,Protesters (Myanmar),,60,Yangon,0
2022-02-06,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Rakhine,0
2022-02-06,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-06,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-06,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-06,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-06,Protests,Peaceful protest,Protesters (Myanmar),,60,Mandalay,0
2022-02-06,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-06,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-05,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Mandalay,0
2022-02-05,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-05,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Mandalay,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Kayin,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Bago-East,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Bago-East,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Shan-South,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Mandalay,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Shan-North,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Nay Pyi Taw,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Kayin,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Nay Pyi Taw,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-02-05,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Mandalay,0
2022-02-05,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-05,Protests,Peaceful protest,Protesters (Myanmar),,60,Mandalay,0
2022-02-05,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-05,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-05,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-05,Protests,Peaceful protest,Protesters (Myanmar),,60,Yangon,0
2022-02-05,Protests,Peaceful protest,Protesters (Myanmar),,60,Mandalay,0
2022-02-05,Protests,Peaceful protest,Protesters (Myanmar),,60,Yangon,0
2022-02-05,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Tanintharyi,0
2022-02-05,Strategic developments,Looting/property destruction,Pyu Saw Htee,Civilians (Myanmar),37,Tanintharyi,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Tanintharyi,0
2022-02-05,Strategic developments,Other,YDF: Yaw Defense Force,,30,Magway,0
2022-02-05,Strategic developments,Other,KNPP/KA: Karenni National Progressive Party/Karenni Army,,20,Kayah,0
2022-02-05,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Mandalay,0
2022-02-05,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-05,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Magway,0
2022-02-05,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-04,Strategic developments,Looting/property destruction,People's Defense Force - Saw Township,Civilians (Myanmar),37,Magway,0
2022-02-04,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Bago-West,0
2022-02-04,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Bago-West,0
2022-02-04,Strategic developments,Change to group/activity,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,,20,Shan-North,0
2022-02-04,Strategic developments,Other,Civilians (Myanmar),,70,Kachin,0
2022-02-04,Protests,Peaceful protest,Protesters (Myanmar),,60,Magway,0
2022-02-04,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-04,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-04,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-04,Protests,Peaceful protest,Protesters (Myanmar),,60,Yangon,0
2022-02-04,Strategic developments,Other,Daung Min - PDF,,30,Sagaing,0
2022-02-04,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Mon,0
2022-02-04,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Mandalay,0
2022-02-04,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-04,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Shan-South,0
2022-02-04,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-03,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-03,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Bago-West,0
2022-02-03,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Bago-West,0
2022-02-03,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Mon,0
2022-02-03,Strategic developments,Looting/property destruction,MVRF: Myaing Villages Revolution Front,Civilians (Myanmar),37,Magway,0
2022-02-03,Strategic developments,Change to group/activity,Military Forces of Myanmar (2021-),,10,Chin,0
2022-02-03,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-02-03,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-03,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-03,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-03,Protests,Peaceful protest,Protesters (Myanmar),,60,Mandalay,0
2022-02-03,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-03,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-03,Protests,Peaceful protest,Protesters (Myanmar),,60,Magway,0
2022-02-03,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-03,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-02-03,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-03,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-03,Strategic developments,Other,Civilians (Myanmar),,70,Kachin,0
2022-02-03,Strategic developments,Change to group/activity,MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,,20,Shan-North,0
2022-02-03,Strategic developments,Change to group/activity,Military Forces of Myanmar (2021-),Chinland Defense Force - Matupi,13,Chin,0
2022-02-03,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-02,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Bago-West,0
2022-02-02,Strategic developments,Change to group/activity,Military Forces of Myanmar (2021-),,10,Chin,0
2022-02-02,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Shan-East,0
2022-02-02,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-02,Protests,Peaceful protest,Protesters (Myanmar),,60,Mandalay,0
2022-02-02,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-02,Protests,Peaceful protest,Protesters (Myanmar),,60,Mandalay,0
2022-02-02,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-02,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-02,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-02,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-02,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-02,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-02,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Chin,0
2022-02-02,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Magway,0
2022-02-02,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Shan-North,0
2022-02-02,Strategic developments,Other,Hero Tiger Force,,30,Sagaing,0
2022-02-02,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Ayeyarwady,0
2022-02-02,Strategic developments,Change to group/activity,Military Forces of Myanmar (2021-),Chinland Defense Force - Daai,13,Chin,0
2022-02-02,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-02,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),16,Kachin,0
2022-02-01,Strategic developments,Other,Civilians (Myanmar),,70,Mandalay,0
2022-02-01,Protests,Peaceful protest,Protesters (Myanmar),,60,Kayin,0
2022-02-01,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Ayeyarwady,0
2022-02-01,Protests,Peaceful protest,Protesters (Myanmar),,60,Ayeyarwady,0
2022-02-01,Protests,Peaceful protest,Protesters (Myanmar),,60,Ayeyarwady,0
2022-02-01,Strategic developments,Other,Civilians (Myanmar),,70,Nay Pyi Taw,0
2022-02-01,Strategic developments,Change to group/activity,Police Forces of Myanmar (2021-),YDF: Yaw Defense Force,13,Magway,0
2022-02-01,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-02-01,Protests,Peaceful protest,Protesters (Myanmar),,60,Magway,0
2022-02-01,Protests,Peaceful protest,Protesters (Myanmar),,60,Shan-North,0
2022-02-01,Protests,Peaceful protest,Protesters (Myanmar),,60,Nay Pyi Taw,0
2022-02-01,Protests,Peaceful protest,Protesters (Myanmar),,60,Yangon,0
2022-02-01,Strategic developments,Disrupted weapons use,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,Military Forces of Myanmar (2021-),12,Kachin,0
2022-02-01,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Mandalay,0
2022-02-01,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Magway,0
2022-02-01,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-01,Protests,Peaceful protest,Protesters (Myanmar),,60,Mandalay,0
2022-02-01,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-01,Protests,Peaceful protest,Protesters (Myanmar),,60,Yangon,0
2022-02-01,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-01,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-02-01,Strategic developments,Other,Civilians (Myanmar),,70,Nay Pyi Taw,0
